epoch,mse,output_mse,spin_score_mse,accuracy,all_correct,min_margin,mean_margin,scores,spin_scores,predictions,outputs
3450,0.732421875,0.7358881095577288,0.7353232097519137,0.75,false,-0.0625,0.15625,0.0625|0.3125|0.125|-0.25,0.0563|0.2578|0.1515|-0.2552,1.0|1.0|1.0|-1.0,0.0627|0.0574|0.0617|0.0433|0.3077|0.2648|0.2242|0.2343|0.1253|0.1516|0.1335|0.1957|-0.2473|-0.2265|-0.2675|-0.2793
3475,0.8134765625,0.7912149407431331,0.7903690344312295,0.5,false,-0.0625,0.109375,0.0|-0.0625|0.25|-0.25,-0.0517|-0.0203|0.2309|-0.2065,1.0|-1.0|1.0|-1.0,-0.0636|-0.081|0.0146|-0.0768|-0.0006|0.0064|-0.0245|-0.0627|0.2124|0.2436|0.2477|0.2201|-0.2409|-0.2311|-0.1858|-0.1682
3500,0.7763671875,0.795799510901438,0.7955776032386136,0.75,false,-0.1875,0.140625,-0.3125|0.25|0.1875|0.1875,-0.2675|0.221|0.2001|0.1828,-1.0|1.0|1.0|1.0,-0.2498|-0.2588|-0.2559|-0.3054|0.2146|0.2276|0.235|0.2068|0.1871|0.1827|0.212|0.2187|0.1858|0.1859|0.1723|0.1873
3525,0.9228515625,0.899464997478306,0.8989274444045908,0.75,false,-0.125,0.046875,0.125|0.125|0.0|-0.1875,0.1137|0.1245|0.0194|-0.208,1.0|1.0|1.0|-1.0,0.1236|0.0978|0.1325|0.1008|0.0967|0.112|0.1616|0.1277|-0.0107|0.0135|0.0697|0.005|-0.2275|-0.1855|-0.23|-0.189
3550,0.94921875,0.9762092579010315,0.9758165757829205,0.5,false,-0.0625,0.03125,0.0625|-0.0625|0.0625|-0.1875,0.1099|-0.0321|0.035|-0.1783,1.0|-1.0|1.0|-1.0,0.1115|0.1025|0.1078|0.1177|-0.0217|-0.0224|-0.0043|-0.0799|0.0783|0.0102|0.0261|0.0256|-0.1681|-0.1737|-0.1874|-0.184
3575,0.962890625,0.9243300900497369,0.9238833978496503,0.5,false,-0.1875,0.03125,0.0|0.25|0.0625|0.1875,-0.0162|0.2185|0.1039|0.1463,1.0|1.0|1.0|1.0,-0.0152|0.0197|-0.0549|-0.0146|0.2173|0.2189|0.2298|0.208|0.0621|0.1006|0.1452|0.1079|0.1346|0.1586|0.1593|0.1328
3600,0.9775390625,0.9418830170413496,0.9414129837054873,0.5,false,-0.125,0.015625,-0.125|-0.125|0.0625|0.0,-0.1353|-0.1323|0.083|-0.054,-1.0|-1.0|1.0|1.0,-0.124|-0.1067|-0.1818|-0.1286|-0.1419|-0.1599|-0.1033|-0.1241|0.0619|0.0633|0.1196|0.0871|-0.0385|-0.0653|-0.0517|-0.0606
3625,0.943359375,0.9364208981966928,0.9360766923274573,0.75,false,-0.0625,0.03125,-0.0625|-0.0625|0.0|-0.125,-0.0743|-0.0526|-0.0144|-0.1337,-1.0|-1.0|1.0|-1.0,-0.0611|-0.1026|-0.0758|-0.0576|-0.0316|-0.0706|-0.0629|-0.0452|-0.0228|-0.0479|0.0008|0.0125|-0.1399|-0.1495|-0.1047|-0.1406
3650,1.0234375,0.9959223920931981,0.9942623411673983,0.75,false,-0.25,0.0,0.25|0.0|0.125|-0.125,0.2341|-0.0079|0.1138|-0.1921,1.0|1.0|1.0|-1.0,0.2483|0.2762|0.2414|0.1706|-0.0191|-0.0281|0.0099|0.0058|0.0249|0.0766|0.1607|0.1929|-0.1751|-0.1733|-0.1949|-0.225
3675,0.837890625,0.8246071739498405,0.8231824046837917,0.5,false,-0.0,0.09375,0.0|0.3125|0.0625|0.0,0.0479|0.271|0.0985|-0.0778,1.0|1.0|1.0|1.0,0.0621|0.0413|0.0066|0.0817|0.2618|0.2072|0.2742|0.3409|0.0699|0.0651|0.1328|0.1262|-0.0174|-0.0883|-0.0732|-0.1324
