column,graph_kind,mean_abs_response,mean_response,nn,repeat,source_case,sweep,target_case
7,initial,0.16195660011568855,-0.039957314688858346,1,2,1,9,2
8,initial,0.28928610492959256,0.24500620210179375,1,2,1,9,2
1,initial,0.21048211587879723,-0.052133727223533544,1,2,1,10,2
2,initial,0.22324727838542283,0.016911853767640886,1,2,1,10,2
3,initial,0.30956375012013854,-0.15217091254950355,1,2,1,10,2
4,initial,0.15574871756856346,0.04609586766054161,1,2,1,10,2
5,initial,0.28911361700544275,0.039164434033164816,1,2,1,10,2
6,initial,0.23729607279835196,0.1126777435618812,1,2,1,10,2
7,initial,0.13549116221094096,-0.016506870740968224,1,2,1,10,2
8,initial,0.32263544367015706,0.3037334662746769,1,2,1,10,2
1,initial,0.2076937209058763,-0.06943936305091432,1,2,1,11,2
2,initial,0.22529313516750407,-0.0136400675557724,1,2,1,11,2
3,initial,0.27033455475605,-0.1872977406157555,1,2,1,11,2
4,initial,0.22013822558834648,0.015794791562558627,1,2,1,11,2
5,initial,0.2873682665821583,0.0006003564262463124,1,2,1,11,2
6,initial,0.21470072944944407,0.1630319627895663,1,2,1,11,2
7,initial,0.16364467202491492,-0.0061458970904501795,1,2,1,11,2
8,initial,0.3325226567522152,0.31366029465548845,1,2,1,11,2
1,initial,0.19510753027739902,-0.027006910594220362,1,2,1,12,2
2,initial,0.2203111496781364,-0.06863297449225098,1,2,1,12,2
3,initial,0.34676681455476566,-0.2588857474765632,1,2,1,12,2
4,initial,0.18233304847175197,0.06153096154924633,1,2,1,12,2
5,initial,0.28904250673599013,0.04182916451169692,1,2,1,12,2
6,initial,0.20472704839101818,0.17153558290403986,1,2,1,12,2
7,initial,0.16003265820524826,-0.09283883948922826,1,2,1,12,2
8,initial,0.30177696045745706,0.2835918472202633,1,2,1,12,2
1,initial,0.19965411092760116,-0.038122031022313776,1,2,1,13,2
2,initial,0.22230139772898586,0.003483905070228343,1,2,1,13,2
3,initial,0.3408932904445092,-0.3029513017973129,1,2,1,13,2
4,initial,0.20073103299206785,0.04899403708794396,1,2,1,13,2
5,initial,0.3311506522988848,0.040220130046780385,1,2,1,13,2
6,initial,0.2413375218817999,0.15471206790260358,1,2,1,13,2
7,initial,0.1879068203349167,-0.06616297315441796,1,2,1,13,2
8,initial,0.32765500591901203,0.3019600067443185,1,2,1,13,2
1,initial,0.23672076557923594,-0.04443302483729569,1,2,1,14,2
2,initial,0.20567708742911214,-0.03105240894686053,1,2,1,14,2
3,initial,0.3732181025994746,-0.2808029589735364,1,2,1,14,2
4,initial,0.2720906404026341,0.09295473040240243,1,2,1,14,2
5,initial,0.3361897585355486,0.04663884357355301,1,2,1,14,2
6,initial,0.2546694043287103,0.1273471112651129,1,2,1,14,2
7,initial,0.1839584987638688,-0.03631819874721687,1,2,1,14,2
8,initial,0.32928335928460395,0.29864747070641556,1,2,1,14,2
1,initial,0.269127796293295,-0.1287234277776999,1,2,1,15,2
2,initial,0.23142736056182953,-0.12210948533588827,1,2,1,15,2
3,initial,0.4023565761097098,-0.3035862392235175,1,2,1,15,2
4,initial,0.28155913905269425,0.08494581225371123,1,2,1,15,2
5,initial,0.3640915844231976,0.059747888255646656,1,2,1,15,2
6,initial,0.2356523592919719,0.14561392171476575,1,2,1,15,2
7,initial,0.2085912885859632,-0.01830117243616068,1,2,1,15,2
8,initial,0.3552789062945436,0.3317819178279483,1,2,1,15,2
1,initial,0.3183639042536316,-0.21164544200508667,1,2,1,16,2
2,initial,0.22796173849891552,-0.12176970837898611,1,2,1,16,2
3,initial,0.3616402691308912,-0.2476393181359557,1,2,1,16,2
4,initial,0.25888724770247895,0.09322103660082018,1,2,1,16,2
5,initial,0.3011476447341506,0.015888468403126,1,2,1,16,2
6,initial,0.24098088074229007,0.13987564692120752,1,2,1,16,2
7,initial,0.2424622313881165,-0.03356647046644438,1,2,1,16,2
8,initial,0.34418113558529245,0.2762916757787438,1,2,1,16,2
1,initial,0.36283797085079583,-0.20732795363719903,1,2,1,17,2
2,initial,0.3175064358279529,-0.10574456966477587,1,2,1,17,2
3,initial,0.40340815440330124,-0.3347589242881518,1,2,1,17,2
4,initial,0.22209925030758443,0.08737471193413145,1,2,1,17,2
5,initial,0.23797077866190813,0.04670196696341513,1,2,1,17,2
6,initial,0.2603482675652282,0.18981509517517126,1,2,1,17,2
7,initial,0.20593428448569825,-0.020522285174867018,1,2,1,17,2
8,initial,0.3293434147312917,0.24857744963884548,1,2,1,17,2
1,initial,0.29568154151469034,-0.19062977445107393,1,2,1,18,2
2,initial,0.2706707079917269,-0.15097947808418322,1,2,1,18,2
